,Unnamed: 0,Preço,Localização,Área Terreno (m2),Quartos,Casas de Banho,Área Útil (m2),Estacionamento,Certificado Energético,Piso,Elevador,Frações,Pisos,Área Bruta Construção (m2),Área Habitação (m2),Área Implantação (m2),Viabilidade Construção,Vedado
0,0,45.000,"Oliveira do Hospital e São Paio de Gramaços, Coimbra",4330,,,,,,,,,,,,,,
1,1,565.000,"Catraia de S. Paio, Oliveira do Hospital",17473,8,8,290,4,,,,,,,,,,
2,2,199.000,"Santa Maria, São Pedro e Sobral da Lagoa, Leiria",150,2,1,97,1,,,,,,,,,,
3,3,135.000,"Fânzeres e São Pedro da Cova, Porto",,3,2,85,,,1,,,,,,,,
4,4,Sob Consulta,"Carvalhal Benfeito, Leiria",1280,3,1,150,2,,,,,,,,,,
5,5,295.000,"Quinta do Conde, Setúbal",92,3,3,106,1,,,,,,,,,,
6,6,Sob Consulta,"Estreito da Calheta, Ilha da Madeira",1004,4,5,200,,,,,,,,,,,
7,7,390.000,"Esgueira, Aveiro",369,4,2,,1,,,,,,,,,,
8,8,300.000,"Mina de Água, Lisboa",,3,2,119,1,,,,,,,,,,
9,9,225.000,"Barreiro e Lavradio, Setúbal",,4,2,110,,,2,,,,,,,,
10,10,1.190.000,"São Brás de Alportel, Faro",671,4,5,220,5,,,,,,,,,,
11,11,390.000,"Santa Joana, Aveiro",423,3,2,,1,,,,,,,,,,
12,12,Sob Consulta,"Centro Histórico de Palmela, Palmela",48,2,1,108,,,,,,,,,,,
13,13,170.000,"Castêlo da Maia, Maia",,1,1,47,1,,1,,,,,,,,
14,14,255.000,"Lagoa e Carvoeiro, Faro",,1,1,50,1,,3,,,,,,,,
15,15,255.000,"Lagoa e Carvoeiro, Faro",,1,1,50,1,,3,,,,,,,,
16,16,255.000,"Lagoa e Carvoeiro, Faro",,1,2,50,1,,3,,,,,,,,
17,17,349.000,"Lagoa e Carvoeiro, Faro",,2,2,50,1,,3,,,,,,,,
18,18,245.000,"Lagoa e Carvoeiro, Faro",,2,1,55,1,,2,,,,,,,,
19,19,195.000,"Lagoa e Carvoeiro, Faro",,1,2,46,1,,2,,,,,,,,
20,20,299.000,"Lagoa e Carvoeiro, Faro",,2,3,66,1,,2,,,,,,,,
21,21,235.000,"Lagoa e Carvoeiro, Faro",,1,2,52,1,,2,,,,,,,,
22,22,189.000,"Lagoa e Carvoeiro, Faro",,1,1,39,1,,2,,,,,,,,
23,23,199.000,"Lagoa e Carvoeiro, Faro",,1,2,48,,,2,,,,,,,,
24,24,185.000,"Lagoa e Carvoeiro, Faro",,1,2,38,1,,0,,,,,,,,
25,25,235.000,"Ermesinde, Porto",,2,2,88,1,,0,,,,,,,,
26,26,185.000,"Lagoa e Carvoeiro, Faro",,1,1,46,1,,1,,,,,,,,
27,27,215.000,"Lagoa e Carvoeiro, Faro",,1,2,52,1,,1,,,,,,,,
28,28,319.700,"Lumiar, Lisboa",,2,1,82,1,,3,,,,,,,,
29,29,190.000,"Lagoa e Carvoeiro, Faro",,1,2,50,1,,1,,,,,,,,
30,30,139.000,"Algueirão-Mem Martins, Lisboa",,1,1,46,,,3,,,,,,,,
31,31,189.000,"Lagoa e Carvoeiro, Faro",,1,1,39,1,,1,,,,,,,,
32,32,315.000,"Lagoa e Carvoeiro, Faro",,2,2,60,1,,0,,,,,,,,
33,33,299.000,"Ferragudo, Lagoa",,3,2,78,1,,0,,,,,,,,
34,34,390.000,"Carreira e Bente, Braga",627,4,3,230,4,,,,,,,,,,
35,35,75.000,"Santo António, Ilha da Madeira",580,2,,61,0,,,,,,,,,,
36,36,90.000,"Santiago, Viseu",54,3,2,43,,,,,,,,,,,
37,37,62.000,"Ourondo, Covilhã",,5,2,155,1,,,,,,,,,,
38,38,175.000,"Olivais Norte, Lisboa",,3,1,71,,,0,,,,,,,,
39,39,645.000,"Alvalade, Lisboa",,4,2,121,,,4,,,,,,,,
40,40,172.500,"Nogueira da Regedoura, Aveiro",,2,2,94,,,2,,,,,,,,
41,41,235.000,"Reguengo do Fetal, Leiria",1480,3,3,162,3,,,,,,,,,,
42,42,129.000,"Águas Livres, Lisboa",,1,1,46,,,1,,,,,,,,
43,43,Sob Consulta,"Esposende, Marinhas e Gandra, Braga",,2,3,109,1,,1,,,,,,,,
44,44,190.000,"Campanhã, Porto",,2,2,84,2,,,,,,,,,,
45,45,225.000,"Araújo, Matosinhos",,3,2,130,1,,2,,,,,,,,
46,46,162.000,"Centro Estarreja, Estarreja",,1,1,65,1,,2,,,,,,,,
47,47,150.000,"Ferreira do Zêzere, Santarém",,3,2,117,,,3,,,,,,,,
48,48,160.000,"Vila do Bispo, Vila do Bispo",60,1,,34,,,,,,,,,,,
49,49,350.000,"Silves, Faro",,2,2,66,,,,,,,,,,,
50,50,310.000,"Lagoa e Carvoeiro, Faro",,2,1,74,,,3,,,,,,,,
51,51,275.000,"Restelo Estádio, Lisboa",,2,1,70,,,-1,,,,,,,,
52,52,185.000,"Oliveira de Azeméis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail, Aveiro",,2,2,107,1,,0,,,,,,,,
53,53,240.000,"Requeixo, Nossa Senhora de Fátima e Nariz, Aveiro",1035,3,2,99,2,,,,,,,,,,
54,54,169.500,"Alfena, Porto",,2,2,80,1,,3,,,,,,,,
55,55,210.000,"Moreira, Porto",,3,2,110,,,2,,,,,,,,
56,56,125.000,"Tamel (São Veríssimo), Braga",120,3,1,102,,,,,,,,,,,
57,57,379.000,"Odivelas, Lisboa",,2,2,90,1,,2,,,,,,,,
58,58,330.000,"Quinta das Lágrimas / Quinta da Varzea, Coimbra",,2,3,90,1,,3,,,,,,,,
59,59,165.000,"Cruz de Pau, Seixal",,2,2,62,0,,-1,,,,,,,,
60,60,154.000,"Planalto de Monforte (Oucidres e Bobadela), Vila Real",880,3,1,110,1,,,,,,,,,,
61,61,210.000,"Santa Marta do Pinhal, Seixal",,2,2,92,0,,7,,,,,,,,
62,62,198.000,"Brandoa, Amadora",,2,1,81,1,,2,,,,,,,,
63,63,230.000,"Mafamude, Vila Nova de Gaia",,2,2,97,1,,1,,,,,,,,
64,64,600.000,"Repeses e São Salvador, Viseu",,4,4,291,2,,3,,,,,,,,
65,65,245.000,"Brandoa, Amadora",,2,1,81,1,,2,,,,,,,,
66,66,550.000,"Repeses e São Salvador, Viseu",,4,4,246,2,,3,,,,,,,,
67,67,130.000,"São João da Madeira, Aveiro",115,2,1,50,1,,,,,,,,,,
68,68,177.500,"SAMORA CORREIA, Benavente",,2,1,105,1,,2,,,,,,,,
69,69,345.000,"Portimão, Faro",,4,3,137,3,,1,,,,,,,,
70,70,345.000,"Portimão, Faro",,4,3,137,3,,1,,,,,,,,
71,71,199.900,"Falagueira-Venda Nova, Lisboa",,2,1,63,,,0,,,,,,,,
72,72,,"Águas Santas, Porto",,,,,0,,,,,,,,,,
73,73,160.000,"Canedo, Vale e Vila Maior, Aveiro",,3,2,104,1,,4,,,,,,,,
74,74,165.000,"Setúbal, Setúbal",,2,2,81,,,0,,,,,,,,
75,75,385.000,"Príncipe Real, Lisboa, Lisboa",,1,1,64,,,0,,,,,,,,
76,76,133.000,"Madalena e Samaiões, Vila Real",,4,3,158,,,3,,,,,,,,
77,77,Sob Consulta,"Ribeira de Fráguas, Albergaria-a-Velha",1250,3,1,98,,,,,,,,,,,
78,78,395.000,"São Vicente, Lisboa",,2,1,73,,,0,,,,,,,,
79,79,675.000,"Queijas, Oeiras",285,3,2,102,,,,,,,,,,,
80,80,130.000,"Cantanhede, Cantanhede",,2,1,103,1,,1,,,,,,,,
81,81,99.000,"Campo e Sobrado, Porto",510,2,2,60,3,,,,,,,,,,
82,82,Sob Consulta,"Almada, Cova da Piedade, Pragal e Cacilhas, Setúbal",,4,3,160,2,,2,,,,,,,,
83,83,200.000,"Ramalde, Porto",,2,1,81,,,2,,,,,,,,
84,84,310.000,"Fafe, Fafe",300,3,3,167,2,,,,,,,,,,
85,85,295.000,"Boa Ventura, Ilha da Madeira",1923,6,1,414,5,,,,,,,,,,
86,86,330.000,"Fafe, Fafe",300,3,3,167,2,,,,,,,,,,
87,87,130.000,"Lourosa, Aveiro",,2,2,105,1,,0,,,,,,,,
88,88,,"Ermesinde, Porto",252-280,3,3,157-160,4,,,,0,2-3,256-280,,,,
89,89,850.000,"Santo António, Lisboa",,7,2,175,1,,3,,,,,,,,
